,
1,Harvard University
2,University of CambridgeUniversity of Cambridge
3,Stanford University
3,California Institute of Technology (Caltech)California Institute of Technology (Caltech)
5,University of Oxford
6,UCL (University College London)UCL (University College London)
7,Imperial College LondonImperial College London
8,ETH Zurich - Swiss Federal Institute of TechnologyETH Zurich - Swiss Federal Institute of Technology
9,University of ChicagoUniversity of Chicago
10,Princeton University
11,National University of Singapore (NUS)
12,"Nanyang Technological University, Singapore (NTU)Nanyang Technological University, Singapore (NTU)"
13,EPFL (Ecole Polytechnique FÃ©dÃ©rale de Lausanne)
14,Yale UniversityYale University
15,Johns Hopkins University
16,Cornell University
17,University of Pennsylvania
18,Kings College LondonKings College London
19,The Australian National UniversityThe Australian National University
19,The University of Edinburgh
21,Columbia University
22,"Ecole normale supÃ©rieure, Paris"
23,McGill University
24,Tsinghua UniversityTsinghua University
25,"University of California, Berkeley (UCB)"
26,"University of California, Los Angeles (UCLA)"
27,The Hong Kong University of Science and TechnologyThe Hong Kong University of Science and Technology
28,Duke University
29,The University of Hong KongThe University of Hong Kong
30,University of Michigan
30,Northwestern University
32,The University of Manchester
33,University of Toronto
34,London School of Economics and Political Science (LSE)London School of Economics and Political Science (LSE)
35,Seoul National University
36,University of BristolUniversity of Bristol
37,Kyoto University
38,The University of Tokyo
39,Ecole Polytechnique
40,Peking University
41,The University of MelbourneThe University of Melbourne
42,KAIST - Korea Advanced Institute of Science & Technology
43,"University of California, San Diego (UCSD)"
44,The University of SydneyThe University of Sydney
45,The University of New South Wales (UNSW Australia)The University of New South Wales (UNSW Australia)
46,The University of QueenslandThe University of Queensland
46,The University of WarwickThe University of Warwick
48,Brown University
49,University of British Columbia
50,The Chinese University of Hong KongThe Chinese University of Hong Kong
51,Fudan University
51,New York University (NYU)
53,University of Wisconsin-Madison
54,University of AmsterdamUniversity of Amsterdam
55,Tokyo Institute of Technology
56,City University of Hong Kong
57,Osaka University
58,University of Illinois at Urbana-Champaign
59,Technische UniversitÃ¤t MÃ¼nchen
60,Durham UniversityDurham University
61,Carnegie Mellon University
62,University of GlasgowUniversity of Glasgow
62,Delft University of Technology
64,University of Washington
65,Ruprecht-Karls-Universitaet Heidelberg
66,Monash UniversityMonash University
67,University of St AndrewsUniversity of St Andrews
68,University of Copenhagen
69,The University of Nottingham
70,Lund UniversityLund University
70,National Taiwan University (NTU)
70,Shanghai Jiao Tong University
70,Tohoku University
74,Ludwig-Maximilians-UniversitÃ¤t MÃ¼nchen
75,University of BirminghamUniversity of Birmingham
76,University of Texas at Austin
77,Trinity College Dublin
78,"University of North Carolina, Chapel Hill"
79,The University of SheffieldThe University of Sheffield
80,University of SouthamptonUniversity of Southampton
81,The University of AucklandThe University of Auckland
82,KU Leuven
82,Georgia Institute of Technology
84,University of Zurich
85,"University of California, Davis"
85,University of LeedsUniversity of Leeds
87,Pohang University of Science And Technology (POSTECH)
87,University of GenevaUniversity of Geneva
89,Purdue University
89,Boston University
91,KTH Royal Institute of Technology
92,"KIT, Karlsruhe Institute of Technology"
93,Utrecht UniversityUtrecht University
94,Leiden University
95,University of Alberta
96,University of Helsinki
96,The University of Western AustraliaThe University of Western Australia
98,The Ohio State University
99,University of GroningenUniversity of Groningen
100,Pennsylvania State University
101,Uppsala University
102,University of YorkUniversity of York
103,Korea University
104,Yonsei University
105,Rice University
106,Aarhus UniversityAarhus University
107,Lomonosov Moscow State University
108,Queen Mary University of LondonQueen Mary University of London
109,Washington University in St. Louis
110,Zhejiang University
110,Technical University of DenmarkTechnical University of Denmark
112,The University of AdelaideThe University of Adelaide
113,University of Science and Technology of China
113,UniversitÃ© de MontrÃ©al
115,The Hong Kong Polytechnic University
116,Eindhoven University of Technology
117,Sungkyunkwan University (SKKU)
118,Freie Universitaet Berlin
119,Nagoya University
120,Lancaster UniversityLancaster University
121,Cardiff UniversityCardiff University
122,University of Minnesota
123,Universidad de Buenos Aires (UBA)
124,Ghent University
124,Erasmus University Rotterdam
126,Humboldt-UniversitÃ¤t zu Berlin
126,"University of Maryland, College Park"
126,"University of California, Santa Barbara (UCSB)"
129,University of Southern California
130,Nanjing University
130,Chalmers University of TechnologyChalmers University of Technology
132,Albert-Ludwigs-Universitaet Freiburg
133,University of Pittsburgh
133,Wageningen University
135,University of Oslo
135,University of AberdeenUniversity of Aberdeen
137,UniversitÃ© Pierre et Marie Curie (UPMC)
137,University of Basel
139,Aalto University
139,Hokkaido University
139,Kyushu University
142,University of Lausanne
143,Universidade de SÃ£o Paulo
143,RWTH Aachen University
145,Universiti Malaya (UM)
146,Indian Institute of Science (IISc) Bangalore
147,The Hebrew University of Jerusalem
148,UniversitÃ© Catholique de Louvain (UCL)
149,McMaster University
149,University of Liverpool
151,University of Waterloo
152,University of Vienna
153,University College Dublin
154,National Tsing Hua University
155,Ecole Centrale de Paris
156,University of ReadingUniversity of Reading
156,Dartmouth College
158,University of BathUniversity of Bath
159,Texas A&M University
159,Universidad Nacional AutÃ³noma de MÃ©xico (UNAM)
160,The University of ExeterThe University of Exeter
161,Newcastle University
162,"University of California, IrvineUniversity of California, Irvine"
163,Michigan State University
164,Emory University
165,University of Bern
166,University of Barcelona
166,Georg-August-University Goettingen
168,Maastricht UniversityMaastricht University
169,Pontificia Universidad CatÃ³lica de Chile (UC)
170,University of Cape Town
171,University of Virginia
172,University of Otago
173,Eberhard Karls UniversitÃ¤t TÃ¼bingen
173,University of Colorado Boulder
175,Vrije Universiteit AmsterdamVrije Universiteit Amsterdam
176,Radboud University Radboud University
177,Technische UniversitÃ¤t Berlin
178,Indian Institute of Technology Delhi (IITD)
179,University of Florida
180,University of Bergen
181,Queen's University BelfastQueen's University Belfast
182,National Chiao Tung University
182,Stockholm University
182,"University of Illinois, Chicago (UIC)"
185,Universidad Autonoma de MadridUniversidad Autonoma de Madrid
186,University of SussexUniversity of Sussex
187,Politecnico di MilanoPolitecnico di Milano
187,University of Twente
188,Ã‰cole Normale SupÃ©rieure de Lyon
188,University of Rochester
190,Universitat AutÃ²noma de BarcelonaUniversitat AutÃ²noma de Barcelona
190,The University of Western OntarioThe University of Western Ontario
192,Hanyang University
193,Vrije Universiteit Brussel (VUB)
194,University of Notre Dame
195,Universidade estadual de Campinas(Unicamp)
195,Vienna University of Technology
197,Technion - Israel Institute of Technology
198,King Fahd University of Petroleum & Minerals
199,Indian Institute of Technology Bombay (IITB)
202,Tel Aviv University
203,University of Calgary
204,Alma Mater Studiorum - University of BolognaAlma Mater Studiorum - University of Bologna
204,Queen`s University at Kingston
206,Universite libre de Bruxelles
207,University of Antwerp
208,Universidad de Chile
209,Rheinische Friedrich-Wilhelms-Universitt Bonn
210,University of Canterbury
211,Waseda University
212,Georgetown University
213,Sapienza University of Rome
213,Case Western Reserve University
215,Vanderbilt University
216,The University of Arizona
216,University of Technology SydneyUniversity of Technology Sydney
218,University Hamburg
219,University of Tsukuba
219,Keio University
219,UniversitÃ© Paris-Sorbonne (Paris IV)
222,Sciences Po Paris
223,National Cheng Kung University
224,Simon Fraser University
225,University Complutense Madrid
226,Technische UniversitÃ¤t Dresden
227,Loughborough UniversityLoughborough University
228,Macquarie UniversityMacquarie University
229,Victoria University of Wellington
229,Royal Holloway University of London
231,Beijing Normal University
232,University College Cork
233,University of Turku
233,University of Leicester
235,UniversitÃ© Joseph Fourier - Grenoble 1
235,King Saud University
237,Instituto TecnolÃ³gico y de Estudios Superiores de Monterrey
238,University of East Anglia (UEA)University of East Anglia (UEA)
239,UniversitÃ© Paris 1 PanthÃ©on-Sorbonne
240,UniversitÃ© de Strasbourg
241,UniversitÃ© Paris-Sud
241,University of WollongongUniversity of Wollongong
243,UniversitÃ¤t Frankfurt am Main
243,University of Massachusetts Amherst
243,Technische UniversitÃ¤t Darmstadt
246,University of SurreyUniversity of Surrey
247,University of Gothenburg
247,University of StrathclydeUniversity of Strathclyde
249,Arizona State University
249,UniversitÃ¤t Stuttgart
251,Tufts University
252,Chulalongkorn University
253,Norwegian University of Science And Technology
254,Indian Institute of Technology Madras (IITM)
254,"The University of Newcastle, Australia (UoN)The University of Newcastle, Australia (UoN)"
256,Saint-Petersburg State University
256,WestfÃ¤lische Wilhelms-Universitat MÃ¼nster
256,Ben Gurion University of The Negev
259,National Taiwan University of Science and Technology (Taiwan Tech)
260,University of DundeeUniversity of Dundee
261,UniversitÃ© Paris Diderot - Paris 7
261,Queensland University of Technology (QUT)Queensland University of Technology (QUT)
263,Indiana University Bloomington
263,UniversitÃ© de LiÃ¨ge
265,University of Navarra
265,"University of California, Riverside"
265,American University of Beirut (AUB)
268,"Rutgers, The State University of New Jersey, New Brunswick"
269,"University of California, Santa Cruz"
269,"National University of Ireland, Galway"
271,Indian Institute of Technology Kanpur (IITK)
271,RMIT UniversityRMIT University
273,Wuhan University
273,"SOAS, University of London SOAS, University of London"
275,Al-Farabi Kazakh National UniversityAl-Farabi Kazakh National University
275,Dalhousie University
277,Nankai University
277,Charles University in Prague
279,University of Miami
280,Hong Kong Baptist University
281,Boston College
282,Universidad de los Andes
283,Curtin University of TechnologyCurtin University of Technology
284,University of Ottawa
284,LinkÃ¶ping UniversityLinkÃ¶ping University
286,"Indian Institute of Technology, Kharagpur"
286,University of South AustraliaUniversity of South Australia
288,Universiti Sains Malaysia (USM)
289,"Birkbeck, University of LondonBirkbeck, University of London"
290,Universidad Nacional de Colombia
290,Harbin Institute of Technology
291,Friedrich-Alexander-UniversitÃ¤t Erlangen-NÃ¼rnberg
292,Ecole Normale SupÃ©rieure de Cachan
293,Tilburg University
293,UniversitÃ¤t Innsbruck
295,Universitat Pompeu FabraUniversitat Pompeu Fabra
295,Kyung Hee University
295,Mahidol University
295,Universitat PolitÃ¨cnica de Catalunya
299,City University LondonCity University London
301,Stellenbosch University
302,University of EssexUniversity of Essex
303,King Abdulaziz University (KAU)
303,Universiti Teknologi Malaysia
303,University of MilanUniversity of Milan
306,Sun Yat-sen University
307,University of Porto
308,North Carolina State University
309,Universidad Austral
309,UniversitÃ  di Padova
309,University of Iowa
312,Universiti Kebangsaan Malaysia (UKM)
312,Ã‰cole des Ponts ParisTech
314,Politecnico di Torino
314,Universidad Carlos III de Madrid (UC3M)Universidad Carlos III de Madrid (UC3M)
314,Novosibirsk State University
317,Heriot-Watt University
318,University of Victoria
319,UniversitÃ¤t Konstanz
319,University of JyvÃ¤skylÃ¤
319,Umea University
319,Universidade Federal do Rio de Janeiro
323,Oxford Brookes UniversityOxford Brookes University
324,Deakin UniversityDeakin University
324,Laval University
324,George Washington UniversityGeorge Washington University
327,University of Hawai'i at MaÃ±oa
327,University of St.Gallen (HSG)University of St.Gallen (HSG)
329,Griffith UniversityGriffith University
329,Brunel University LondonBrunel University London
331,Universiti Putra Malaysia (UPM)
331,University of Cologne
331,University of the WitwatersrandUniversity of the Witwatersrand
331,Xiâ€™an Jiaotong University
331,Massey University
337,University of Waikato
338,University at Buffalo SUNY
338,University Ulm
338,Virginia Polytechnic Institute and State University
338,National Yang Ming University
338,Bauman Moscow State Technical UniversityBauman Moscow State Technical University
338,University of Warsaw
344,Tongji University
345,The American University in Cairo
345,Aston UniversityAston University
346,University of Eastern Finland
347,Rensselaer Polytechnic Institute
348,Hiroshima University
348,Pontificia Universidad CatÃ³lica Argentina Santa MarÃ­a de los Buenos Aires - UCA
350,UniversitÃ¤t Bremen
351,Universidade Nova de LisboaUniversidade Nova de Lisboa
351,Dublin City University
353,Ewha Womans University
354,Iowa State University
355,Aalborg UniversityAalborg University
356,Tampere University of Technology
356,University of Oulu
358,University of Indonesia
358,University of KentUniversity of Kent
360,University of Southern Denmark
361,Aix-Marseille University
361,Washington State University
361,Kobe University
361,Northeastern University
365,Leibniz UniversitÃ¤t Hannover
366,University of Coimbra
367,University of PisaUniversity of Pisa
367,UniversitÃ© Paris Dauphine
369,University of Utah
369,L.N. Gumilyov Eurasian National University L.N. Gumilyov Eurasian National University
371,"Stony Brook University, State University of New YorkStony Brook University, State University of New York"
372,Lincoln University Lincoln University
373,American University
373,Johannes Gutenberg UniversitÃ¤t Mainz
375,National Taiwan Normal University
376,UniversitÃ© de Montpellier
376,National Technical University of Athens
376,University of TasmaniaUniversity of Tasmania
379,National Sun Yat-sen University
379,Brandeis University
381,UniversitÃ¤t Jena
381,Beihang University (former BUAA)
381,University of StirlingUniversity of Stirling
384,UniversitÃ¤t Leipzig
384,Yeshiva University
384,Institut National des Sciences AppliquÃ©es de Lyon (INSA)
387,UniversitÃ© Paris Descartes
387,James Cook UniversityJames Cook University
387,University of Connecticut
390,Tokyo Medical and Dental University (TMDU)
391,Indian Institute of Technology Roorkee (IITR)
391,University of Kansas
393,La Trobe UniversityLa Trobe University
394,UniversitÃ¤t Mannheim
394,Bilkent University
394,Moscow State Institute of International Relations (MGIMO University)Moscow State Institute of International Relations (MGIMO University)
397,UniversitÃ© Paul Sabatier Toulouse III
397,National Central University
397,Swansea UniversitySwansea University
400,University of Tartu
400,Beijing Institute of Technology
401-410,Christian-Albrechts-University zu Kiel
401-410,Florida State University
401-410,Julius-Maximilians-UniversitÃ¤t WÃ¼rzburg
401-410,Pontificia Universidad Javeriana
401-410,The University of Georgia
401-410,"University of Rome ""Tor Vergata"""
401-410,University of Texas Dallas
401-410,University of the Philippines
401-410,Xiamen University
401-410,American University of Sharjah
411-420,Bangor UniversityBangor University
411-420,Colorado State University
411-420,Concordia University
411-420,Jagiellonian University
411-420,Shanghai University
411-420,Universidad de Belgrano
411-420,Universidad PolitÃ¨cnica de ValÃ¨ncia
411-420,University of Florence
411-420,"University of Colorado, Denver"
411-420,Belarus State University
421-430,Ruhr-UniversitÃ¤t Bochum
421-430,Sogang University
421-430,Taipei Medical University
421-430,Taras Shevchenko National University of Kyiv
421-430,Tianjin University
421-430,United Arab Emirates University
421-430,University of Delaware
421-430,University of TromsÃ¸ The Arctic University of Norway
421-430,Bandung Institute of Technology (ITB)
431-440,Illinois Institute of Technology
431-440,Karl-Franzens-Universitaet Graz
431-440,Middle East Technical University
431-440,Moscow Institute of Physics and Technology State University
431-440,Oregon State University
431-440,University of Trento
431-440,UniversitÃ© du QuÃ©bec
431-440,"University of Maryland, Baltimore County"
431-440,University of New Mexico
431-440,Abo Akademi University
441-450,BogaziÃ§i Ãœniversitesi
441-450,Huazhong University of Science and Technology
441-450,Pusan National University
441-450,Renmin (Peopleâ€™s) University of China
441-450,Sabanci University
441-450,Universidad Externado de Colombia
441-450,University of Naples - Federico II
441-450,University of Bordeaux
441-450,University of Tampere
441-450,York University
441-450,Czech Technical University in Prague
451-460,"Goldsmiths, University of London"
451-460,Indian Institute of Technology Guwahati (IITG)
451-460,Jilin University
451-460,Universidad de Santiago de Chile (USACH)
451-460,Universidade Federal do Rio Grande Do Sul
451-460,UniversitÃ¤t Bayreuth
451-460,University of Nebraska - Lincoln
451-460,University of Saskatchewan
451-460,"The University of Tennessee, Knoxville"
451-460,Aristotle University of Thessaloniki
461-470,Chang Gung University
461-470,Chung-Ang University(CAU)
461-470,City University of New York
461-470,PolitÃ©cnica de Madrid
461-470,Southeast University
461-470,University of Granada
461-470,UniversitÃ¤t Regensburg
461-470,Wake Forest University
461-470,East China University of Science and Technology
471-480,Instituto TecnolÃ³gico de Buenos Aires (ITBA)
471-480,"Kingston University, LondonKingston University, London"
471-480,Sharif University of Technology
471-480,Peter the Great Saint-Petersburg Polytechnic UniversityPeter the Great Saint-Petersburg Polytechnic University
471-480,UniversitÃ  Cattolica del Sacro Cuore
471-480,"UniversitÃ© Lille 1, Sciences et Technologies"
471-480,University of GuelphUniversity of Guelph
471-480,University of LimerickUniversity of Limerick
471-480,University of Oklahoma
471-480,Auckland University of Technology Auckland University of Technology
481-490,Khalifa University
481-490,Koc University
481-490,Qatar University
481-490,National Research Tomsk Polytechnic UniversityNational Research Tomsk Polytechnic University
481-490,Tomsk State UniversityTomsk State University
481-490,UNESP
481-490,UniversitÃ© Claude Bernard Lyon 1
481-490,University of Delhi
481-490,University of Lisbon
481-490,Arabian Gulf University
491-500,Hankuk (Korea) University of Foreign Studies
491-500,Philipps-UniversitÃ¤t Marburg
491-500,Pontificia Universidad CatÃ³lica del PerÃº
491-500,Sichuan University
491-500,TU Dortmund University
491-500,Tokyo Metropolitan University
491-500,Tulane University
491-500,Universidad de Palermo (UP)
491-500,Universidad de Zaragoza
